emoji_char,emoji_char_ascii,emjpd_emoji_name,emjpd_emoji_name_og,emjpd_aliases,emjpd_full_description,emjpd_shortcodes,emjpd_description_ref_emj,emjpd_usage_info,emjpd_description_main,emjpd_description_side
🪖,\U0001fa96,military_helmet,Military Helmet,[],"A round military helmet with a chinstrap. All platforms depict a green helmet, with some designs featuring a green camouflage pattern.

Military Helmet was approved as part of Unicode 13.0 in 2020
and added to Emoji 13.0 in 2020.

🚩 New in 2020: requires iOS 14.2, Android 11, Samsung One UI 2.5 or above.",[':military_helmet:\n(Emojipedia)\n'],['🚩'],,"A round military helmet with a chinstrap. All platforms depict a green helmet, with some designs featuring a green camouflage pattern.","Military Helmet was approved as part of Unicode 13.0 in 2020
and added to Emoji 13.0 in 2020.
🚩 New in 2020: requires iOS 14.2, Android 11, Samsung One UI 2.5 or above."
🛋️,\U0001f6cb\ufe0f,couch_and_lamp,Couch and Lamp,"['Lounge', 'Settee', 'Sofa']","A couch (sofa) with a floor lamp on the right, as in the living room of a house. Color and style of the couch and lamp vary widely by platform. Used for various content concerning furniture and housing as well as resting and lounging.

Couch and Lamp was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.
","[':couch_and_lamp:\n(Github, Slack, Emojipedia)\n']",[],,"A couch (sofa) with a floor lamp on the right, as in the living room of a house. Color and style of the couch and lamp vary widely by platform. Used for various content concerning furniture and housing as well as resting and lounging.","Couch and Lamp was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
💀,\U0001f480,skull,Skull,"['Death', 'Grey Skull', 'Skeleton']","A whitish-gray, cartoon-styled human skull with large, black eye sockets. Commonly expresses figurative death, e.g., dying from extreme laughter, frustration, or affection.
Popular around Halloween. Not to be confused with ☠️ Skull and Crossbones, though their applications may overlap.
Available as an Apple Animoji.

Skull was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':skull:\n(Github, Slack, Emojipedia)\n']",['☠️'],"Popular around Halloween. Not to be confused with ☠️ Skull and Crossbones, though their applications may overlap.","A whitish-gray, cartoon-styled human skull with large, black eye sockets. Commonly expresses figurative death, e.g., dying from extreme laughter, frustration, or affection.
Popular around Halloween. Not to be confused with ☠️ Skull and Crossbones, though their applications may overlap.
Available as an Apple Animoji.","Skull was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🌴,\U0001f334,palm_tree,Palm Tree,['Coconut Tree'],"A palm tree, a tree-like plant, as grows by the sea. Depicted as a palm tree with long, green, feather-like leaves and a tall, brown, segmented trunk.
May be used to represent beaches, tropical climates and cultures, summer fun, and vacations (holidays). Vendors implement a similar tree in their 🏝️ Desert Island.
Microsoft’s palm tree bears coconuts, as Samsung’s previously did. Apple’s palm tree previously had more erect palms.

Palm Tree was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':palm_tree:\n(Github, Slack, Emojipedia)\n']",['🏝️'],,"A palm tree, a tree-like plant, as grows by the sea. Depicted as a palm tree with long, green, feather-like leaves and a tall, brown, segmented trunk.
May be used to represent beaches, tropical climates and cultures, summer fun, and vacations (holidays). Vendors implement a similar tree in their 🏝️ Desert Island.
Microsoft’s palm tree bears coconuts, as Samsung’s previously did. Apple’s palm tree previously had more erect palms.","Palm Tree was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇫🇰,\U0001f1eb\U0001f1f0,flag-_falkland_islands,Flag: Falkland Islands,['Falklander Flag'],"The flag for Falkland Islands (Malvinas), which may show as the letters FK on some platforms.
The Flag: Falkland Islands emoji is a flag sequence combining 🇫 Regional Indicator Symbol Letter F and 🇰 Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms.

Flag: Falkland Islands was added to Emoji 1.0 in 2015.
","[':flag-fk:\n(Slack)\n', ':falkland_islands:\n(Github)\n', ':flag_falkland_islands:\n(Emojipedia)\n']",[],,"The flag for Falkland Islands (Malvinas), which may show as the letters FK on some platforms.
The Flag: Falkland Islands emoji is a flag sequence combining 🇫 Regional Indicator Symbol Letter F and 🇰 Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms.",Flag: Falkland Islands was added to Emoji 1.0 in 2015.
👔,\U0001f454,necktie,Necktie,"['Business Shirt', 'Shirt And Tie', 'Tie']","A necktie commonly worn at work or formal occasions.
Sometimes displayed as a shirt and tie. Colors and patterns vary by platform.

Necktie was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':necktie:\n(Github, Slack, Emojipedia)\n']",[],,"A necktie commonly worn at work or formal occasions.
Sometimes displayed as a shirt and tie. Colors and patterns vary by platform.","Necktie was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
⚱️,\u26b1\ufe0f,funeral_urn,Funeral Urn,['Vase'],"An urn, as used to hold the cremated ashes of the dead. Appearance varies, but generally depicted as a covered, bronze container with a rounded body and tapered foot.
May be used for various content concerning death and funerals. May also be used for other types of vessels, such as pots or vases.
Not to be confused with 🏺 Amphora.

Funeral Urn was approved as part of Unicode 4.1 in 2005
and added to Emoji 1.0 in 2015.
","[':funeral_urn:\n(Github, Slack, Emojipedia)\n']",['🏺'],"May be used for various content concerning death and funerals. May also be used for other types of vessels, such as pots or vases.
Not to be confused with 🏺 Amphora.","An urn, as used to hold the cremated ashes of the dead. Appearance varies, but generally depicted as a covered, bronze container with a rounded body and tapered foot.
May be used for various content concerning death and funerals. May also be used for other types of vessels, such as pots or vases.
Not to be confused with 🏺 Amphora.","Funeral Urn was approved as part of Unicode 4.1 in 2005
and added to Emoji 1.0 in 2015."
💄,\U0001f484,lipstick,Lipstick,"['Lip Gloss', 'Makeup']","Lipstick shown with the lid removed. Displays in a shade of red on most platforms, except WhatsApp and Twitter which have a more a pinkish color.

Lipstick was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':lipstick:\n(Github, Slack, Emojipedia)\n']",[],,"Lipstick shown with the lid removed. Displays in a shade of red on most platforms, except WhatsApp and Twitter which have a more a pinkish color.","Lipstick was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🙍‍♂️,\U0001f64d\u200d\u2642\ufe0f,man_frowning,Man Frowning,[],"The male version of the 🙍 Person Frowning emoji.
The Man Frowning emoji is a ZWJ sequence combining 🙍 Person Frowning, ‍ Zero Width Joiner and ♂️ Male Sign.
These display as a single emoji on supported platforms.

Man Frowning was added to Emoji 4.0 in 2016.
","[':frowning_man:\n(Github)\n', ':man_frowning:\n(Emojipedia)\n', ':man-frowning:\n(Slack)\n']","['🙍', '♂️']",,"The male version of the 🙍 Person Frowning emoji.
The Man Frowning emoji is a ZWJ sequence combining 🙍 Person Frowning, ‍ Zero Width Joiner and ♂️ Male Sign.
These display as a single emoji on supported platforms.",Man Frowning was added to Emoji 4.0 in 2016.
👨‍👩‍👦‍👦,\U0001f468\u200d\U0001f469\u200d\U0001f466\u200d\U0001f466,"family-_man,_woman,_boy,_boy","Family: Man, Woman, Boy, Boy",[],"A family with a father, mother, and two sons.
The Family: Man, Woman, Boy, Boy emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner, 👩 Woman, ‍ Zero Width Joiner, 👦 Boy, ‍ Zero Width Joiner and 👦 Boy.
These display as a single emoji on supported platforms.

Family: Man, Woman, Boy, Boy was added to Emoji 2.0 in 2015.
","[':family_man_woman_boy_boy:\n(Github, Emojipedia)\n', ':man-woman-boy-boy:\n(Slack)\n']","['👨', '👦', '👩']",,"A family with a father, mother, and two sons.
The Family: Man, Woman, Boy, Boy emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner, 👩 Woman, ‍ Zero Width Joiner, 👦 Boy, ‍ Zero Width Joiner and 👦 Boy.
These display as a single emoji on supported platforms.","Family: Man, Woman, Boy, Boy was added to Emoji 2.0 in 2015."
👯,\U0001f46f,people_with_bunny_ears,People with Bunny Ears,"['Ballet', 'Dancing Girls', ""Let's Party"", 'Showgirls']","An iteration of the Playboy Bunny known in Japan as a Bunny Girl. Usually depicted as an attractive woman  wearing bunny ears; a bunny girl can also be seen in anime as a hybrid human/animal known as Kemonomimi.
Some versions of this emoji, such as Apple’s, display two girls dancing, each wearing a leotard and bunny ears. Other interpretations show the face of one woman wearing bunny ears.
The two-person version of this emoji is often used as a display of friendship, fun, or ""let's party"".

People with Bunny Ears was approved as part of Unicode 6.0 in 2010
under the name “Woman with Bunny Ears”
and added to Emoji 1.0 in 2015.

🚩 Previously displayed a gendered appearance, now shown as gender neutral.","[':dancers:\n(Github, Slack)\n', ':people_with_bunny_ears:\n(Emojipedia)\n']",['🚩'],"The two-person version of this emoji is often used as a display of friendship, fun, or ""let's party"".","An iteration of the Playboy Bunny known in Japan as a Bunny Girl. Usually depicted as an attractive woman  wearing bunny ears; a bunny girl can also be seen in anime as a hybrid human/animal known as Kemonomimi.
Some versions of this emoji, such as Apple’s, display two girls dancing, each wearing a leotard and bunny ears. Other interpretations show the face of one woman wearing bunny ears.
The two-person version of this emoji is often used as a display of friendship, fun, or ""let's party"".","People with Bunny Ears was approved as part of Unicode 6.0 in 2010
under the name “Woman with Bunny Ears”
and added to Emoji 1.0 in 2015.
🚩 Previously displayed a gendered appearance, now shown as gender neutral."
🧽,\U0001f9fd,sponge,Sponge,[],"A peanut-shaped sponge, as used for cleaning or bathing. Generally depicted in yellow and at different angles across platforms. Commonly used for various content concerning bathing, washing, and cleaning.

Sponge was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.
","[':sponge:\n(Github, Slack, Emojipedia)\n']",[],"A peanut-shaped sponge, as used for cleaning or bathing. Generally depicted in yellow and at different angles across platforms. Commonly used for various content concerning bathing, washing, and cleaning.","A peanut-shaped sponge, as used for cleaning or bathing. Generally depicted in yellow and at different angles across platforms. Commonly used for various content concerning bathing, washing, and cleaning.","Sponge was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
🧖‍♂️,\U0001f9d6\u200d\u2642\ufe0f,man_in_steamy_room,Man in Steamy Room,[],"The Man in Steamy Room emoji is a ZWJ sequence combining 🧖 Person in Steamy Room, ‍ Zero Width Joiner and ♂️ Male Sign.
These display as a single emoji on supported platforms.

Man in Steamy Room was added to Emoji 5.0 in 2017.
","[':man_in_steamy_room:\n(Slack, Emojipedia)\n', ':sauna_man:\n(Github)\n']","['🧖', '♂️']",,"The Man in Steamy Room emoji is a ZWJ sequence combining 🧖 Person in Steamy Room, ‍ Zero Width Joiner and ♂️ Male Sign.
These display as a single emoji on supported platforms.",Man in Steamy Room was added to Emoji 5.0 in 2017.
🔉,\U0001f509,speaker_medium_volume,Speaker Medium Volume,['Reduce Volume'],"A speaker cone displayed with one sound wave, generally used as an icon to indicate the decreasing of volume on a phone or computer.
Previously displayed with two sound waves on Android, instead of one.

Speaker Medium Volume was approved as part of Unicode 6.0 in 2010
under the name “Speaker with One Sound Wave”
and added to Emoji 1.0 in 2015.
","[':sound:\n(Github, Slack)\n', ':speaker_medium_volume:\n(Emojipedia)\n']",[],"A speaker cone displayed with one sound wave, generally used as an icon to indicate the decreasing of volume on a phone or computer.","A speaker cone displayed with one sound wave, generally used as an icon to indicate the decreasing of volume on a phone or computer.
Previously displayed with two sound waves on Android, instead of one.","Speaker Medium Volume was approved as part of Unicode 6.0 in 2010
under the name “Speaker with One Sound Wave”
and added to Emoji 1.0 in 2015."
🧿,\U0001f9ff,nazar_amulet,Nazar Amulet,"['Evil Eye Talisman', 'Nazar Boncuğu']","A nazar, an eye-shaped amulet believed to protect against the evil eye, especially in Turkish culture. Depicted as a rich blue, circular bead with a black dot in the center ringed with white and light blue, resembling an eye.
Commonly used to represent eyes, various senses of looking, various senses of charms, envy and jealousy, and Turkey and Turkish culture. Also used for its blue color more generally.
WhatsApp and Facebook's designs include a small hole, as for threading the amulet on a string or chain.

Nazar Amulet was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.
","[':nazar_amulet:\n(Github, Slack, Emojipedia)\n']",[],,"A nazar, an eye-shaped amulet believed to protect against the evil eye, especially in Turkish culture. Depicted as a rich blue, circular bead with a black dot in the center ringed with white and light blue, resembling an eye.
Commonly used to represent eyes, various senses of looking, various senses of charms, envy and jealousy, and Turkey and Turkish culture. Also used for its blue color more generally.
WhatsApp and Facebook's designs include a small hole, as for threading the amulet on a string or chain.","Nazar Amulet was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
🧣,\U0001f9e3,scarf,Scarf,[],"
Scarf was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.
","[':scarf:\n(Github, Slack, Emojipedia)\n']",[],,,"Scarf was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
🗑️,\U0001f5d1\ufe0f,wastebasket,Wastebasket,"['Garbage Can', 'Rubbish Bin', 'Trash Can', 'Wastepaper Basket']","A wastebasket, as used to discard trash in an office. Generally depicted as a silver, wire-mesh container. Also known as a wastepaper basket, trash/garbage can, or rubbish bin.
Commonly used for various content concerning literal and figurative waste. May also be used in the context of basketball. Sometimes paired with 🔥 Fire as a visual representation of the slang expression dumpster fire (""chatoic situation"").
Samsung’s design previously depicted a metal can/bin with a lid, as used for outdoor garbage—or lived in by Oscar the Grouch. Not to be confused with 🧺 Basket.

Wastebasket was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015.
","[':wastebasket:\n(Github, Slack, Emojipedia)\n']","['🔥', '🧺']","Commonly used for various content concerning literal and figurative waste. May also be used in the context of basketball. Sometimes paired with 🔥 Fire as a visual representation of the slang expression dumpster fire (""chatoic situation"").
Samsung’s design previously depicted a metal can/bin with a lid, as used for outdoor garbage—or lived in by Oscar the Grouch. Not to be confused with 🧺 Basket.","A wastebasket, as used to discard trash in an office. Generally depicted as a silver, wire-mesh container. Also known as a wastepaper basket, trash/garbage can, or rubbish bin.
Commonly used for various content concerning literal and figurative waste. May also be used in the context of basketball. Sometimes paired with 🔥 Fire as a visual representation of the slang expression dumpster fire (""chatoic situation"").
Samsung’s design previously depicted a metal can/bin with a lid, as used for outdoor garbage—or lived in by Oscar the Grouch. Not to be confused with 🧺 Basket.","Wastebasket was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
🦍,\U0001f98d,gorilla,Gorilla,[],"A gorilla, the powerful, black-haired great ape. Variously depicted in full profile on all fours facing left or as a friendly, cartoon-styled gorilla face looking straight ahead.
Most platforms' designs depict a full gorilla, as a silverback, with strong shoulders and reddish forehead. Twitter’s designs feature a black and gray gorilla face with a neutral expression and prominent forehead and jaw.
Google, Samsung, and Facebook’s designs previously featured only a gorilla face.
This emoji is considered racist in some contexts, especially when used to disparage, insult, and abuse people with dark skin, especially Black people.

Gorilla was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.
","[':gorilla:\n(Github, Slack, Emojipedia)\n']",[],,"A gorilla, the powerful, black-haired great ape. Variously depicted in full profile on all fours facing left or as a friendly, cartoon-styled gorilla face looking straight ahead.
Most platforms' designs depict a full gorilla, as a silverback, with strong shoulders and reddish forehead. Twitter’s designs feature a black and gray gorilla face with a neutral expression and prominent forehead and jaw.
Google, Samsung, and Facebook’s designs previously featured only a gorilla face.
This emoji is considered racist in some contexts, especially when used to disparage, insult, and abuse people with dark skin, especially Black people.","Gorilla was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
🐈,\U0001f408,cat,Cat,"['Domestic Cat', 'Feline', 'Housecat']","A domestic cat, beloved as a pet. Generally depicted as a light-orange cat with stripes, as a tabby, in full profile on all fours facing left, with its long tell held upright.
See also 🐱 Cat Face.
Google’s cat is cartoon-styled, shown sitting on its hind legs with a friendly expression and whiskers. Facebook’s cat is a gray tabby, though previously was orange. Microsoft and Samsung’s cats were previously gray, Twitter’s brown.

Cat was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':cat2:\n(Github, Slack)\n', ':cat:\n(Emojipedia)\n']",['🐱'],,"A domestic cat, beloved as a pet. Generally depicted as a light-orange cat with stripes, as a tabby, in full profile on all fours facing left, with its long tell held upright.
See also 🐱 Cat Face.
Google’s cat is cartoon-styled, shown sitting on its hind legs with a friendly expression and whiskers. Facebook’s cat is a gray tabby, though previously was orange. Microsoft and Samsung’s cats were previously gray, Twitter’s brown.","Cat was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
📱,\U0001f4f1,mobile_phone,Mobile Phone,"['Cell Phone', 'iPhone', 'Smartphone']","A mobile phone (cell phone), as used to text, check social media, or take selfies. Depicted as a black or gray smartphone with a generic blue screen or multicolored app icons. Commonly used for various content concerning mobile phones, technology, and communication.
The designs from Apple, Google, Microsoft, and Samsung resemble phones offered by their respective companies, e.g., iPhone. WhatsApp’s design features a night sky as its wallpaper, displaying the time as 9:34. Early designs from au by KDDI resemble a traditional telephone receiver.
See also 📲 Mobile Phone With Arrow.

Mobile Phone was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':iphone:\n(Github, Slack)\n', ':mobile_phone:\n(Emojipedia)\n']",['📲'],,"A mobile phone (cell phone), as used to text, check social media, or take selfies. Depicted as a black or gray smartphone with a generic blue screen or multicolored app icons. Commonly used for various content concerning mobile phones, technology, and communication.
The designs from Apple, Google, Microsoft, and Samsung resemble phones offered by their respective companies, e.g., iPhone. WhatsApp’s design features a night sky as its wallpaper, displaying the time as 9:34. Early designs from au by KDDI resemble a traditional telephone receiver.
See also 📲 Mobile Phone With Arrow.","Mobile Phone was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
